 particle   u u-bar d d-bar s s-bar c c-bar b b-bar I J P m(MeV)
 pi^{+}     1 0 0 1 0 0 0 0 0 0 1 0 -1 139.57039
 pi^{-}     0 1 1 0 0 0 0 0 0 0 1 0 -1 139.57039
 pi^{0}     1 1 1 1 0 0 0 0 0 0 1 0 -1 134.9768
 eta        1 1 1 1 1 1 0 0 0 0 0 0 -1 547.862
 eta-prime  1 1 1 1 1 1 0 0 0 0 0 0 -1 957.78
rho+(770)   1 0 0 1 0 0 0 0 0 0 1 1 -1 775.4
 rho-(770)  0 1 1 0 0 0 0 0 0 0 1 1 -1 775.4
 rho0(770)  1 1 1 1 0 0 0 0 0 0 1 1 -1 775.49
omega(782)  1 1 1 1 0 0 0 0 0 0 0 1 -1 782.65
 phi(1020)  0 0 0 0 1 1 0 0 0 0 0 1 -1 1019.461
 f2(1270)                       0 2 +1 1275.5
 a2(1320)                       1 2 +1 1316.9
 pi2(1670)                      1 2 -1 1670.6
 eta2(1645)                     0 2 -1 1617.0
 a2(1700)                       1 2 +1 1705.0
 eta2(1870)                     0 2 -1 1842
 K^{+}      1 0 0 0 0 1 0 0 0 0 0.5 0 -1 493.677
 K^{-}      0 1 0 0 1 0 0 0 0 0 0.5 0 -1 493.677
 k0         0 0 1 0 0 1 0 0 0 0 0.5 0 -1 497.611
 k-bar^{0}  0 0 0 1 1 0 0 0 0 0 0.5 0 -1 497.611
 k_0_S      0 0 1 1 1 1 0 0 0 0 0.5 0 -1 497.614
 k_0_L      0 0 1 1 1 1 0 0 0 0 0.5 0 -1 497.614
k*+(892)    1 0 0 0 0 1 0 0 0 0 0.5 1 -1 891.66
 K*-(892)   0 1 0 0 1 0 0 0 0 0 0.5 1 -1 891.66
 K*0(892)   0 0 1 0 0 1 0 0 0 0 0.5 1 -1 895.55
kbar*0(892) 0 0 0 1 1 0 0 0 0 0 0.5 1 -1 895.55
 
